粑 粑
巴 巴
爸 爸
八 百
八 宝
芭 比
把 柄
八 婆
爸 妈
把 门
罢 免
八 方
八 分
巴 顿
八 大
把 刀
霸 道
巴 蒂
八 点
拔 掉
八 度
把 她
把 他
把 它
吧 台
巴 特
把 头
把 那
把 你
八 年
巴 拉
罢 了
芭 蕾
巴 里
巴 黎
把 脸
巴 林
八 路
八 卦
把 关
拔 高
八 哥
八 个
罢 工
巴 克
把 话
八 号
把 好
巴 赫
疤 痕
吧 唧
八 级
拔 剑
芭 蕉
八 角
八 届
巴 结
八 戒
巴 金
把 酒
八 九
霸 权
霸 气
八 千
把 钱
巴 乔
八 强
把 球
把 戏
巴 西
拔 下
八 仙
八 项
把 心
罢 休
霸 占
巴 掌
八 折
把 这
八 种
吧 主
霸 主
把 车
八 成
把 持
拔 出
坝 上
跋 涉
八 十
巴 士
把 守
把 手
把 书
巴 蜀
把 水
把 人
八 日
靶 子
八 字
八 次
巴 萨
巴 斯
八 岁
八 月
拔 牙
巴 以
八 一
八 万
把 玩
霸 王
八 位
把 我
把 握
巴 尔
掰 掰
摆 摆
白 白
拜 拜
白 班
白 板
百 般
百 倍
败 笔
百 变
白 布
摆 布
摆 平
白 马
摆 满
百 忙
白 猫
百 米
摆 明
百 名
白 发
白 饭
摆 放
拜 访
白 粉
百 分
白 费
拜 佛
百 搭
白 搭
白 带
摆 到
败 德
白 底
摆 动
摆 渡
拜 读
百 度
百 态
摆 摊
白 糖
白 天
白 头
拜 托
摆 脱
白 嫩
拜 年
百 年
摆 弄
摆 了
败 类
百 里
百 联
百 灵
白 领
白 露
白 鹭
白 光
百 个
败 给
白 宫
白 骨
百 果
掰 开
百 科
白 花
白 话
百 花
败 坏
摆 好
白 鹤
百 合
白 狐
白 虎
百 货
拜 会
百 佳
败 家
百 家
拜 见
白 洁
白 金
白 净
白 酒
百 强
白 雪
白 皙
百 姓
百 兆
摆 着
摆 正
柏 芝
白 纸
白 昼
百 种
百 川
白 吃
白 痴
百 出
摆 出
白 沙
摆 上
摆 设
百 盛
拜 师
白 石
百 事
摆 手
白 水
百 人
白 人
拜 仁
白 日
百 日
摆 在
白 菜
百 草
百 色
白 色
百 思
白 送
败 诉
百 岁
百 元
白 云
白 眼
白 杨
白 羊
白 蚁
百 亿
白 衣
白 银
白 玉
百 余
百 万
百 位
斑 斑
版 本
半 杯
半 边
斑 驳
半 步
颁 布
般 配
半 瓶
扳 平
斑 马
版 面
颁 发
办 法
拌 饭
半 分
半 段
绊 倒
办 到
半 岛
搬 到
办 得
般 地
般 的
板 凳
班 底
斑 点
半 点
半 天
版 图
办 妥
半 年
伴 娘
伴 侣
搬 来
斑 斓
伴 郎
搬 了
板 栗
