粑 粑
巴 巴
爸 爸
八 百
八 寶
芭 比
把 柄
八 婆
爸 媽
把 門
罷 免
八 方
八 分
巴 頓
八 大
把 刀
霸 道
巴 蒂
八 點
拔 掉
八 度
把 她
把 他
把 它
吧 檯
巴 特
把 頭
把 那
把 你
八 年
巴 拉
罷 了
芭 蕾
巴 里
巴 黎
把 臉
巴 林
八 路
八 卦
把 關
拔 高
八 哥
八 個
罷 工
巴 克
把 話
八 號
把 好
巴 赫
疤 痕
吧 唧
八 級
拔 劍
芭 蕉
八 角
八 屆
巴 結
八 戒
巴 金
把 酒
八 九
霸 權
霸 氣
八 千
把 錢
巴 喬
八 強
把 球
把 戲
巴 西
拔 下
八 仙
八 項
把 心
罷 休
霸 佔
巴 掌
八 折
把 這
八 種
吧 主
霸 主
把 車
八 成
把 持
拔 出
壩 上
跋 涉
八 十
巴 士
把 守
把 手
把 書
巴 蜀
把 水
把 人
八 日
靶 子
八 字
八 次
巴 薩
巴 斯
八 歲
八 月
拔 牙
巴 以
八 一
八 萬
把 玩
霸 王
八 位
把 我
把 握
巴 爾
掰 掰
擺 擺
白 白
拜 拜
白 班
白 板
百 般
百 倍
敗 筆
百 變
白 布
擺 佈
擺 平
白 馬
擺 滿
百 忙
白 貓
百 米
擺 明
百 名
白 髮
白 飯
擺 放
拜 訪
白 粉
百 分
白 費
拜 佛
百 搭
白 搭
白 帶
擺 到
敗 德
白 底
擺 動
擺 渡
拜 讀
百 度
百 態
擺 攤
白 糖
白 天
白 頭
拜 託
擺 脫
白 嫩
拜 年
百 年
擺 弄
擺 了
敗 類
百 里
百 聯
百 靈
白 領
白 露
白 鷺
白 光
百 個
敗 給
白 宮
白 骨
百 果
掰 開
百 科
白 花
白 話
百 花
敗 壞
擺 好
白 鶴
百 合
白 狐
白 虎
百 貨
拜 會
百 佳
敗 家
百 家
拜 見
白 潔
白 金
白 淨
白 酒
百 強
白 雪
白 皙
百 姓
百 兆
擺 著
擺 正
柏 芝
白 紙
白 晝
百 種
百 川
白 吃
白 痴
百 出
擺 出
白 沙
擺 上
擺 設
百 盛
拜 師
白 石
百 事
擺 手
白 水
百 人
白 人
拜 仁
白 日
百 日
擺 在
白 菜
百 草
百 色
白 色
百 思
白 送
敗 訴
百 歲
百 元
白 雲
白 眼
白 楊
白 羊
白 蟻
百 億
白 衣
白 銀
白 玉
百 餘
百 萬
百 位
斑 斑
版 本
半 杯
半 邊
斑 駁
半 步
頒 佈
般 配
半 瓶
扳 平
斑 馬
版 面
頒 發
辦 法
拌 飯
半 分
半 段
絆 倒
辦 到
半 島
搬 到
辦 得
般 地
般 的
板 凳
班 底
斑 點
半 點
半 天
版 圖
辦 妥
半 年
伴 娘
